
***************************************************************************
                         EOV koordinátajegyzék
***************************************************************************

P.szám                   Y             X           h                kód       dátum        idõ

RTCM-Ref 0207        650684.476   237444.172     137.177        --------   2021.10.08   15:38:14
GPS_Auto_3194        650133.267   238537.715     114.097        --------   2021.10.08   15:38:16
GPS_Auto_3195        650133.264   238537.714     114.106        --------   2021.10.08   15:38:17
GPS_Auto_3196        650133.267   238537.716     114.105        --------   2021.10.08   15:38:18
GPS_Auto_3197        650133.264   238537.718     114.098        --------   2021.10.08   15:38:19
GPS_Auto_3198        650133.266   238537.714     114.103        --------   2021.10.08   15:38:20
GPS_Auto_3199        650133.265   238537.713     114.102        --------   2021.10.08   15:38:21
GPS_Auto_3200        650133.265   238537.712     114.100        --------   2021.10.08   15:38:22
GPS_Auto_3201        650133.262   238537.719     114.112        --------   2021.10.08   15:38:23
GPS_Auto_3202        650133.263   238537.714     114.113        --------   2021.10.08   15:38:24
GPS_Auto_3203        650133.261   238537.717     114.109        --------   2021.10.08   15:38:25
GPS_Auto_3204        650133.264   238537.716     114.097        --------   2021.10.08   15:38:26
GPS_Auto_3205        650133.264   238537.716     114.112        --------   2021.10.08   15:38:27
GPS_Auto_3206        650133.265   238537.715     114.110        --------   2021.10.08   15:38:28
GPS_Auto_1000        650133.265   238537.714     114.117        --------   2021.10.08   15:38:53
GPS_Auto_1001        650133.265   238537.714     114.131        --------   2021.10.08   15:38:54
GPS_Auto_1002        650133.263   238537.714     114.129        --------   2021.10.08   15:38:55
GPS_Auto_1003        650133.265   238537.714     114.132        --------   2021.10.08   15:38:56
GPS_Auto_1004        650133.263   238537.714     114.125        --------   2021.10.08   15:38:57
GPS_Auto_1005        650133.262   238537.716     114.129        --------   2021.10.08   15:38:58
GPS_Auto_1006        650133.265   238537.716     114.134        --------   2021.10.08   15:38:59
GPS_Auto_1007        650133.263   238537.714     114.132        --------   2021.10.08   15:39:00
GPS_Auto_1008        650133.264   238537.715     114.127        --------   2021.10.08   15:39:01
GPS_Auto_1009        650133.267   238537.709     114.122        --------   2021.10.08   15:39:02
GPS_Auto_1010        650133.266   238537.714     114.132        --------   2021.10.08   15:39:03
GPS_Auto_1011        650133.261   238537.713     114.124        --------   2021.10.08   15:39:04
GPS_Auto_1012        650133.261   238537.713     114.122        --------   2021.10.08   15:39:05
GPS_Auto_1013        650133.266   238537.710     114.133        --------   2021.10.08   15:39:06
GPS_Auto_1014        650133.265   238537.713     114.129        --------   2021.10.08   15:39:07
GPS_Auto_1015        650133.266   238537.709     114.130        --------   2021.10.08   15:39:08
GPS_Auto_1016        650133.265   238537.711     114.126        --------   2021.10.08   15:39:09
GPS_Auto_1017        650133.263   238537.711     114.119        --------   2021.10.08   15:39:10
GPS_Auto_1018        650133.264   238537.713     114.121        --------   2021.10.08   15:39:11
GPS_Auto_1019        650133.262   238537.709     114.126        --------   2021.10.08   15:39:12
GPS_Auto_1020        650133.263   238537.711     114.125        --------   2021.10.08   15:39:13
GPS_Auto_1021        650133.261   238537.712     114.125        --------   2021.10.08   15:39:14
GPS_Auto_1022        650133.262   238537.717     114.126        --------   2021.10.08   15:39:15
GPS_Auto_1023        650133.264   238537.707     114.114        --------   2021.10.08   15:39:16
GPS_Auto_1024        650133.263   238537.712     114.122        --------   2021.10.08   15:39:17
GPS_Auto_1025        650133.267   238537.708     114.119        --------   2021.10.08   15:39:18
GPS_Auto_1026        650133.263   238537.713     114.124        --------   2021.10.08   15:39:19
GPS_Auto_1027        650133.264   238537.712     114.115        --------   2021.10.08   15:39:20
GPS_Auto_1028        650133.264   238537.713     114.125        --------   2021.10.08   15:39:21
GPS_Auto_1029        650133.263   238537.712     114.121        --------   2021.10.08   15:39:22
GPS_Auto_1030        650133.260   238537.716     114.127        --------   2021.10.08   15:39:23
GPS_Auto_1031        650133.262   238537.709     114.123        --------   2021.10.08   15:39:24
GPS_Auto_1032        650133.264   238537.711     114.127        --------   2021.10.08   15:39:25
GPS_Auto_1033        650133.263   238537.714     114.125        --------   2021.10.08   15:39:26
GPS_Auto_1034        650133.260   238537.714     114.124        --------   2021.10.08   15:39:27
GPS_Auto_1035        650133.264   238537.711     114.116        --------   2021.10.08   15:39:28
GPS_Auto_1036        650133.262   238537.718     114.122        --------   2021.10.08   15:39:29
GPS_Auto_1037        650133.262   238537.715     114.125        --------   2021.10.08   15:39:30
GPS_Auto_1038        650133.264   238537.713     114.123        --------   2021.10.08   15:39:31
GPS_Auto_1039        650133.266   238537.712     114.117        --------   2021.10.08   15:39:32
GPS_Auto_1040        650133.262   238537.715     114.129        --------   2021.10.08   15:39:33
GPS_Auto_1041        650133.261   238537.715     114.128        --------   2021.10.08   15:39:34
GPS_Auto_1042        650133.261   238537.713     114.123        --------   2021.10.08   15:39:35
GPS_Auto_1043        650133.261   238537.719     114.130        --------   2021.10.08   15:39:36
GPS_Auto_1044        650133.264   238537.714     114.121        --------   2021.10.08   15:39:37
GPS_Auto_1045        650133.267   238537.714     114.120        --------   2021.10.08   15:39:38
GPS_Auto_1046        650133.264   238537.713     114.122        --------   2021.10.08   15:39:39
GPS_Auto_1047        650133.264   238537.711     114.119        --------   2021.10.08   15:39:40
GPS_Auto_1048        650133.259   238537.717     114.125        --------   2021.10.08   15:39:41
GPS_Auto_1049        650133.264   238537.716     114.122        --------   2021.10.08   15:39:42
GPS_Auto_1050        650133.264   238537.717     114.115        --------   2021.10.08   15:39:43
GPS_Auto_1051        650133.262   238537.718     114.127        --------   2021.10.08   15:39:44
GPS_Auto_1052        650133.261   238537.720     114.119        --------   2021.10.08   15:39:45
GPS_Auto_1053        650133.262   238537.718     114.125        --------   2021.10.08   15:39:46
GPS_Auto_1054        650133.261   238537.717     114.125        --------   2021.10.08   15:39:47
GPS_Auto_1055        650133.261   238537.718     114.122        --------   2021.10.08   15:39:48
GPS_Auto_1056        650133.265   238537.713     114.121        --------   2021.10.08   15:39:49
GPS_Auto_1057        650133.264   238537.713     114.126        --------   2021.10.08   15:39:50
GPS_Auto_1058        650133.264   238537.716     114.123        --------   2021.10.08   15:39:51
GPS_Auto_1059        650133.262   238537.714     114.123        --------   2021.10.08   15:39:52
GPS_Auto_1060        650133.263   238537.715     114.119        --------   2021.10.08   15:39:53
GPS_Auto_1061        650133.261   238537.717     114.118        --------   2021.10.08   15:39:54
GPS_Auto_1062        650133.263   238537.716     114.119        --------   2021.10.08   15:39:55
GPS_Auto_1063        650133.259   238537.717     114.124        --------   2021.10.08   15:39:56
GPS_Auto_1064        650133.259   238537.717     114.125        --------   2021.10.08   15:39:57
GPS_Auto_1065        650133.262   238537.719     114.121        --------   2021.10.08   15:39:58
GPS_Auto_1066        650133.261   238537.715     114.122        --------   2021.10.08   15:39:59
GPS_Auto_1067        650133.260   238537.720     114.118        --------   2021.10.08   15:40:00
GPS_Auto_1068        650133.259   238537.719     114.116        --------   2021.10.08   15:40:01
GPS_Auto_1069        650133.262   238537.718     114.114        --------   2021.10.08   15:40:02
GPS_Auto_1070        650133.263   238537.717     114.119        --------   2021.10.08   15:40:03
GPS_Auto_1071        650133.263   238537.715     114.125        --------   2021.10.08   15:40:04
GPS_Auto_1072        650133.262   238537.713     114.129        --------   2021.10.08   15:40:05
GPS_Auto_1073        650133.260   238537.715     114.124        --------   2021.10.08   15:40:06
GPS_Auto_1074        650133.262   238537.715     114.114        --------   2021.10.08   15:40:07
GPS_Auto_1075        650133.262   238537.715     114.126        --------   2021.10.08   15:40:08
GPS_Auto_1076        650133.264   238537.715     114.118        --------   2021.10.08   15:40:09
GPS_Auto_1077        650133.266   238537.712     114.112        --------   2021.10.08   15:40:10
GPS_Auto_1078        650133.265   238537.713     114.116        --------   2021.10.08   15:40:11
GPS_Auto_1079        650133.262   238537.714     114.123        --------   2021.10.08   15:40:12
